price,parking,bathrooms,bedrooms,suburb,propertyType
622500.0,2,1,4,Banks,house
775000.0,3,2,4,Watson,house
575000.0,1,1,2,Narrabundah,house
690000.0,2,2,3,Narrabundah,house
50000.0,3,2,4,Kaleen,house
50000.0,0,2,4,Narrabundah,house
600000.0,1,2,3,Braddon,house
2000000.0,2,2,5,Forrest,house
50000.0,2,1,3,Monash,house
465000.0,0,2,3,Weston,house
675000.0,2,1,3,O'Connor,house
675000.0,1,2,4,Narrabundah,house
635000.0,2,2,5,Banks,house
1000000.0,2,2,4,Turner,house
307000.0,1,1,2,Gordon,house
450000.0,1,2,3,Fisher,house
450000.0,1,2,3,Fisher,house
350000.0,2,2,2,Weston,house
442000.0,2,2,3,Kambah,house
490000.0,2,2,3,Duffy,house
865000.0,4,3,5,Lyneham,house
430000.0,4,2,4,Chisholm,house
50000.0,2,2,4,Wanniassa,house
550000.0,2,2,4,Kambah,house
444000.0,2,1,3,Theodore,house
535000.0,1,2,3,Pearce,house
50000.0,2,2,4,Latham,house
542000.0,2,2,4,Chapman,house
357000.0,2,1,3,Banks,house
429000.0,1,2,3,Rivett,house
1180000.0,2,1,4,Red Hill,house
375000.0,1,2,4,MacGregor,house
526000.0,1,2,3,Curtin,house
760000.0,2,1,3,City,house
439000.0,1,1,4,Mawson,house
447250.0,3,1,3,Fisher,house
492500.0,1,2,3,O'Connor,house
727500.0,2,2,4,McKellar,house
450000.0,2,2,3,Kaleen,house
360100.0,2,2,4,Flynn,house
750000.0,2,2,3,Garran,house
317000.0,0,1,2,Belconnen,house
365000.0,2,1,3,Gilmore,house
670000.0,2,1,4,McKellar,house
419000.0,2,2,4,Wanniassa,house
515000.0,2,2,3,Gungahlin,house
675000.0,2,2,4,Curtin,house
307000.0,1,1,2,Isabella Plains,house
340000.0,1,2,3,Banks,house
600000.0,2,2,4,Harrison,house
350000.0,1,2,3,Ngunnawal,house
362000.0,0,2,4,Spence,house
765000.0,2,1,5,Deakin,house
770000.0,1,1,4,O'Connor,house
469000.0,1,2,4,Fadden,house
367000.0,1,1,3,Palmerston,house
465000.0,2,2,4,Theodore,house
375000.0,2,2,3,Banks,house
505000.0,2,2,4,Fadden,house
605000.0,2,1,3,Downer,house
325000.0,0,2,3,Ngunnawal,house
421000.0,2,1,3,McKellar,house
550000.0,2,3,4,Wanniassa,house
590000.0,2,2,4,Nicholls,house
522500.0,2,2,4,Dunlop,house
480000.0,1,1,2,Narrabundah,house
1165000.0,3,2,5,Farrer,house
670000.0,2,3,4,Fadden,house
345000.0,1,2,2,Cook,house
375000.0,2,1,3,Gilmore,house
50000.0,3,2,4,Oxley,house
2000000.0,2,2,4,Reid,house
392500.0,0,2,4,Scullin,house
445000.0,3,1,4,Kaleen,house
383000.0,2,2,3,Rivett,house
418000.0,1,1,3,Banks,house
860000.0,0,1,2,Griffith,house
350000.0,1,1,2,Calwell,house
355200.0,2,1,3,Holt,house
418000.0,0,2,3,Duffy,house
442000.0,4,2,4,Scullin,house
360000.0,3,1,3,Isabella Plains,house
495000.0,3,1,4,Conder,house
315000.0,1,1,3,Ngunnawal,house
468000.0,1,1,3,Dickson,house
605000.0,1,2,3,Curtin,house
