price,parking,bathrooms,bedrooms,suburb,propertyType,quarters,seasons
350000.0,2,1,3,Ngunnawal,house,q1,spring
50000.0,2,2,3,Pearce,house,q3,summer
50000.0,2,2,3,Kambah,house,q3,summer
420000.0,2,2,4,Banks,house,q3,fall
503000.0,2,2,3,Weston,house,q3,fall
380000.0,2,2,3,Conder,house,q4,fall
50000.0,2,2,4,Conder,house,q4,fall
50000.0,3,2,3,Chisholm,house,q4,fall
334000.0,1,1,3,Gordon,house,q4,fall
395000.0,2,1,3,Fisher,house,q4,fall
467500.0,2,2,4,Spence,house,q4,fall
50000.0,2,2,3,Farrer,house,q2,spring
522500.0,0,1,3,Narrabundah,house,q2,spring
635000.0,2,2,5,Nicholls,house,q2,spring
690000.0,2,3,4,McKellar,house,q2,spring
780000.0,4,3,4,Fadden,house,q2,spring
679000.0,2,3,5,Macarthur,house,q2,spring
50000.0,1,2,4,Chifley,house,q2,spring
450000.0,2,2,3,Fisher,house,q2,spring
467000.0,1,2,3,Watson,house,q2,spring
50000.0,1,2,4,Narrabundah,house,q2,spring
649000.0,2,2,5,Gordon,house,q2,spring
675000.0,2,2,4,Kambah,house,q2,spring
50000.0,2,2,4,Nicholls,house,q2,spring
415000.0,3,2,3,Bonython,house,q2,spring
445000.0,2,2,4,Rivett,house,q2,spring
292500.0,1,1,1,Deakin,house,q2,spring
450000.0,1,2,3,Downer,house,q2,spring
680000.0,2,2,4,Watson,house,q2,spring
950000.0,2,2,4,Ainslie,house,q2,spring
550000.0,2,2,3,Isabella Plains,house,q2,spring
485000.0,2,1,3,Watson,house,q2,spring
640000.0,2,2,4,Bruce,house,q1,winter
350000.0,1,2,3,Flynn,house,q1,winter
332000.0,1,1,2,Banks,house,q1,winter
622500.0,2,1,4,Banks,house,q1,winter
775000.0,3,2,4,Watson,house,q1,winter
575000.0,1,1,2,Narrabundah,house,q2,spring
690000.0,2,2,3,Narrabundah,house,q2,spring
50000.0,3,2,4,Kaleen,house,q2,summer
50000.0,0,2,4,Narrabundah,house,q2,summer
600000.0,1,2,3,Braddon,house,q3,summer
2000000.0,2,2,5,Forrest,house,q3,summer
50000.0,2,1,3,Monash,house,q3,fall
465000.0,0,2,3,Weston,house,q3,fall
675000.0,2,1,3,O'Connor,house,q4,winter
675000.0,1,2,4,Narrabundah,house,q4,winter
635000.0,2,2,5,Banks,house,q4,winter
1000000.0,2,2,4,Turner,house,q4,winter
307000.0,1,1,2,Gordon,house,q2,spring
450000.0,1,2,3,Fisher,house,q2,spring
450000.0,1,2,3,Fisher,house,q2,spring
350000.0,2,2,2,Weston,house,q2,spring
442000.0,2,2,3,Kambah,house,q2,spring
490000.0,2,2,3,Duffy,house,q2,spring
865000.0,4,3,5,Lyneham,house,q2,spring
430000.0,4,2,4,Chisholm,house,q2,spring
50000.0,2,2,4,Wanniassa,house,q2,spring
550000.0,2,2,4,Kambah,house,q2,spring
444000.0,2,1,3,Theodore,house,q2,spring
535000.0,1,2,3,Pearce,house,q2,spring
50000.0,2,2,4,Latham,house,q2,spring
542000.0,2,2,4,Chapman,house,q2,spring
357000.0,2,1,3,Banks,house,q2,spring
429000.0,1,2,3,Rivett,house,q1,winter
1180000.0,2,1,4,Red Hill,house,q1,winter
375000.0,1,2,4,MacGregor,house,q1,spring
526000.0,1,2,3,Curtin,house,q2,summer
760000.0,2,1,3,City,house,q2,summer
439000.0,1,1,4,Mawson,house,q4,fall
447250.0,3,1,3,Fisher,house,q4,fall
492500.0,1,2,3,O'Connor,house,q4,fall
727500.0,2,2,4,McKellar,house,q4,fall
450000.0,2,2,3,Kaleen,house,q4,fall
360100.0,2,2,4,Flynn,house,q4,fall
750000.0,2,2,3,Garran,house,q4,fall
317000.0,0,1,2,Belconnen,house,q4,winter
365000.0,2,1,3,Gilmore,house,q2,summer
670000.0,2,1,4,McKellar,house,q2,summer
419000.0,2,2,4,Wanniassa,house,q2,summer
515000.0,2,2,3,Gungahlin,house,q2,summer
675000.0,2,2,4,Curtin,house,q2,summer
307000.0,1,1,2,Isabella Plains,house,q2,summer
340000.0,1,2,3,Banks,house,q2,summer
600000.0,2,2,4,Harrison,house,q2,summer
350000.0,1,2,3,Ngunnawal,house,q2,summer
362000.0,0,2,4,Spence,house,q2,summer
765000.0,2,1,5,Deakin,house,q2,summer
770000.0,1,1,4,O'Connor,house,q2,summer
469000.0,1,2,4,Fadden,house,q2,summer
367000.0,1,1,3,Palmerston,house,q2,summer
465000.0,2,2,4,Theodore,house,q2,summer
375000.0,2,2,3,Banks,house,q2,summer
505000.0,2,2,4,Fadden,house,q2,summer
605000.0,2,1,3,Downer,house,q2,summer
325000.0,0,2,3,Ngunnawal,house,q2,summer
421000.0,2,1,3,McKellar,house,q2,summer
550000.0,2,3,4,Wanniassa,house,q2,summer
590000.0,2,2,4,Nicholls,house,q2,summer
522500.0,2,2,4,Dunlop,house,q2,summer
480000.0,1,1,2,Narrabundah,house,q2,summer
1165000.0,3,2,5,Farrer,house,q2,summer
670000.0,2,3,4,Fadden,house,q1,winter
345000.0,1,2,2,Cook,house,q1,spring
375000.0,2,1,3,Gilmore,house,q2,spring
50000.0,3,2,4,Oxley,house,q2,spring
2000000.0,2,2,4,Reid,house,q2,spring
392500.0,0,2,4,Scullin,house,q3,summer
445000.0,3,1,4,Kaleen,house,q3,summer
383000.0,2,2,3,Rivett,house,q3,summer
418000.0,1,1,3,Banks,house,q4,fall
860000.0,0,1,2,Griffith,house,q4,fall
350000.0,1,1,2,Calwell,house,q4,fall
355200.0,2,1,3,Holt,house,q4,fall
418000.0,0,2,3,Duffy,house,q4,fall
442000.0,4,2,4,Scullin,house,q4,fall
360000.0,3,1,3,Isabella Plains,house,q3,summer
495000.0,3,1,4,Conder,house,q3,summer
315000.0,1,1,3,Ngunnawal,house,q3,summer
468000.0,1,1,3,Dickson,house,q3,summer
605000.0,1,2,3,Curtin,house,q3,summer
1090000.0,3,2,4,Griffith,house,q3,summer
558000.0,2,2,4,Farrer,house,q3,summer
700000.0,2,1,3,Aranda,house,q3,summer
1300000.0,2,1,4,O'Connor,house,q3,summer
320000.0,1,1,3,Theodore,house,q3,summer
675000.0,1,1,3,Narrabundah,house,q3,summer
450000.0,2,2,4,Gungahlin,house,q3,summer
415000.0,1,2,3,Kaleen,house,q3,summer
480000.0,2,1,4,Conder,house,q3,summer
553000.0,2,2,4,Torrens,house,q3,summer
885000.0,2,2,4,Pearce,house,q3,summer
350000.0,1,1,3,Wanniassa,house,q3,summer
320000.0,0,1,3,Banks,house,q3,summer
370000.0,2,2,4,Flynn,house,q3,summer
564000.0,1,2,3,Curtin,house,q3,summer
50000.0,2,1,3,Bonython,house,q3,summer
365000.0,0,1,3,Theodore,house,q3,summer
390000.0,1,2,3,Weston,house,q3,summer
927000.0,2,2,4,Yarralumla,house,q3,summer
360000.0,2,1,3,Evatt,house,q3,summer
390000.0,2,2,4,Dunlop,house,q3,summer
440000.0,2,2,4,Flynn,house,q3,summer
350000.0,1,2,2,Latham,house,q1,winter
430000.0,4,2,3,Waramanga,house,q1,winter
595000.0,2,2,3,Ainslie,house,q1,winter
550000.0,0,2,3,Ainslie,house,q1,winter
350000.0,1,2,3,Conder,house,q2,spring
365000.0,3,1,3,Evatt,house,q2,spring
585000.0,2,2,3,Waramanga,house,q2,spring
602500.0,2,1,4,Dickson,house,q2,spring
359000.0,2,1,3,Gordon,house,q2,spring
475000.0,2,2,3,Kambah,house,q2,spring
315000.0,2,2,3,Higgins,house,q2,summer
320000.0,2,1,4,Spence,house,q2,summer
325000.0,2,4,4,Melba,house,q2,summer
341000.0,2,1,3,Florey,house,q2,summer
540000.0,2,3,4,Evatt,house,q2,summer
395000.0,1,1,4,Latham,house,q3,summer
350000.0,2,2,3,MacGregor,house,q3,summer
370000.0,1,1,3,Giralang,house,q3,fall
620000.0,2,1,4,Watson,house,q3,fall
631000.0,2,2,4,Banks,house,q3,fall
450000.0,1,2,3,Watson,house,q4,fall
405000.0,3,1,4,Spence,house,q4,fall
675000.0,2,2,4,Forde,house,q4,winter
548000.0,1,2,3,Curtin,house,q4,winter
405000.0,6,1,4,Higgins,house,q3,summer
420000.0,2,2,3,Rivett,house,q3,summer
531500.0,1,2,4,Weston,house,q3,summer
350000.0,1,1,3,Gordon,house,q3,summer
350000.0,0,2,2,Weston,house,q3,summer
450000.0,2,2,4,Nicholls,house,q3,summer
50000.0,2,2,3,Isabella Plains,house,q3,summer
875000.0,3,3,6,Nicholls,house,q3,summer
365000.0,2,1,3,Gordon,house,q3,summer
375000.0,1,1,3,Chisholm,house,q3,summer
402000.0,1,1,3,Fisher,house,q3,summer
420000.0,2,2,3,Kambah,house,q3,summer
550000.0,2,2,2,Palmerston,house,q3,summer
585000.0,2,2,4,Nicholls,house,q3,summer
350000.0,2,1,3,Banks,house,q3,summer
675000.0,5,3,5,Theodore,house,q3,summer
279500.0,1,1,2,Latham,house,q3,summer
675000.0,2,2,4,Nicholls,house,q3,summer
550000.0,2,2,4,Calwell,house,q3,summer
330000.0,2,2,3,Dunlop,house,q3,summer
360000.0,2,1,3,Evatt,house,q3,summer
370000.0,2,1,3,Theodore,house,q3,summer
450000.0,2,2,4,Kambah,house,q3,summer
450000.0,1,2,4,MacGregor,house,q3,summer
405000.0,2,2,3,Weston,house,q3,summer
395000.0,2,2,3,Palmerston,house,q3,summer
490000.0,0,2,4,Bruce,house,q3,summer
530000.0,2,2,5,Bonython,house,q3,summer
680000.0,2,2,4,Pearce,house,q3,summer
350000.0,2,2,3,Conder,house,q3,summer
450000.0,1,2,4,Curtin,house,q3,summer
495000.0,1,2,4,Curtin,house,q3,summer
805000.0,2,2,4,Bruce,house,q3,summer
630000.0,2,2,4,Farrer,house,q3,summer
875000.0,1,1,4,Griffith,house,q3,summer
550000.0,2,2,4,Fisher,house,q3,summer
400000.0,2,2,3,Nicholls,house,q3,summer
50000.0,3,2,3,Bonython,house,q3,summer
350000.0,2,2,3,Holt,house,q3,summer
50000.0,2,2,3,Conder,house,q3,summer
345000.0,1,1,3,Scullin,house,q3,summer
440000.0,2,2,3,Ngunnawal,house,q3,summer
510000.0,2,2,4,Chapman,house,q3,summer
50000.0,1,2,4,Gordon,house,q3,summer
310000.0,2,1,3,Theodore,house,q3,summer
330000.0,2,2,3,Palmerston,house,q3,summer
337500.0,1,1,3,Nicholls,house,q3,summer
370000.0,1,1,4,Conder,house,q3,summer
395000.0,1,1,3,Lyneham,house,q3,summer
465000.0,2,2,4,Harrison,house,q3,summer
342000.0,2,1,3,Gilmore,house,q3,summer
350000.0,1,1,3,Ngunnawal,house,q1,winter
675000.0,2,2,4,Hughes,house,q1,winter
875000.0,2,2,3,Deakin,house,q1,winter
